State,Population,AreaInSqKm,DensityPerSqKm
Uttar Pradesh,199812341,240928,829
Maharashtra,112374333,307713,365
Bihar,104099452,94163,1102
West Bengal,91276115,88752,1029
Madhya Pradesh,72626809,308245,236
Tamil Nadu,72147030,130058,555
Rajasthan,68548437,342239,201
Karnataka,61095297,191791,319
Gujarat,60439692,196024,308
Andhra Pradesh,49577103,162968,303
Odisha,41974219,155707,269
Telangana,35003674,114840,307
Kerala,33406061,38863,859
Jharkhand,32988134,79714,414
Assam,31205576,78438,397
Punjab,27743338,50362,550
Chhattisgarh,25545198,135191,189
Haryana,25351462,44212,573
Delhi,16787941,1484,11297
Jammu and Kashmir,12267032,222236,57
Uttarakhand,10086292,53483,189
Himachal Pradesh,6864602,55673,189
Tripura,3673917,10486,350
Meghalaya,2966889,22429,132
Manipur,2570390,22327,122
Nagaland,1978502,16579,119
Goa,1458545,3702,394
Arunachal Pradesh,1383727,21000,50
Puducherry,1247953,479,2598
Mizoram,1097206,21081,52
Chandigarh,1055450,114,9252
Sikkim,610577,7096,86
Dadra and Nagar Haveli and Daman and Diu,585764,603,970
Andaman and Nicobar Islands,380581,8249,46
Ladakh,274000,96701,3
Lakshadweep,64473,32,2013
