State,StateCodeValue
Uttar Pradesh,UP
Maharashtra,MH
Bihar,BR
West Bengal,WB
Madhya Pradesh,MP
Tamil Nadu,TN
Rajasthan,RJ
Karnataka,KA
Gujarat,GJ
Andhra Pradesh,AP
Odisha,OD
Telangana,TL
Kerala,KL
Jharkhand,JH
Assam,AS
Punjab,PB
Chhattisgarh,CG
Haryana,HR
Delhi,DL
Jammu and Kashmir,JK
Uttarakhand,UK
Himachal Pradesh,HP
Tripura,TR
Meghalaya,MG
Manipur,MN
Nagaland,NG
Goa,GA
Arunachal Pradesh,AR
Puducherry,PU
Mizoram,MZ
Chandigarh,CH
Sikkim,SK
Dadra and Nagar Haveli and Daman and Diu,DN
Andaman and Nicobar Islands,AN
Ladakh,LD
Lakshadweep,LK
